total[50000]:acc[76.07%], correct[38036.0]
0:acc[88.0%], correct[44], total[50]
1:acc[92.0%], correct[46], total[50]
2:acc[80.0%], correct[40], total[50]
3:acc[78.0%], correct[39], total[50]
4:acc[86.0%], correct[43], total[50]
5:acc[76.0%], correct[38], total[50]
6:acc[84.0%], correct[42], total[50]
7:acc[70.0%], correct[35], total[50]
8:acc[82.0%], correct[41], total[50]
9:acc[100.0%], correct[50], total[50]
10:acc[88.0%], correct[44], total[50]
11:acc[98.0%], correct[49], total[50]
12:acc[92.0%], correct[46], total[50]
13:acc[100.0%], correct[50], total[50]
14:acc[92.0%], correct[46], total[50]
15:acc[100.0%], correct[50], total[50]
16:acc[90.0%], correct[45], total[50]
17:acc[92.0%], correct[46], total[50]
18:acc[92.0%], correct[46], total[50]
19:acc[96.0%], correct[48], total[50]
20:acc[88.0%], correct[44], total[50]
21:acc[82.0%], correct[41], total[50]
22:acc[96.0%], correct[48], total[50]
23:acc[100.0%], correct[50], total[50]
24:acc[98.0%], correct[49], total[50]
25:acc[96.0%], correct[48], total[50]
26:acc[68.0%], correct[34], total[50]
27:acc[76.0%], correct[38], total[50]
28:acc[88.0%], correct[44], total[50]
29:acc[86.0%], correct[43], total[50]
30:acc[78.0%], correct[39], total[50]
31:acc[86.0%], correct[43], total[50]
32:acc[40.0%], correct[20], total[50]
33:acc[74.0%], correct[37], total[50]
34:acc[64.0%], correct[32], total[50]
35:acc[66.0%], correct[33], total[50]
36:acc[60.0%], correct[30], total[50]
37:acc[86.0%], correct[43], total[50]
38:acc[86.0%], correct[43], total[50]
39:acc[88.0%], correct[44], total[50]
40:acc[50.0%], correct[25], total[50]
41:acc[94.0%], correct[47], total[50]
42:acc[80.0%], correct[40], total[50]
43:acc[88.0%], correct[44], total[50]
44:acc[72.0%], correct[36], total[50]
45:acc[84.0%], correct[42], total[50]
46:acc[58.0%], correct[29], total[50]
47:acc[78.0%], correct[39], total[50]
48:acc[94.0%], correct[47], total[50]
49:acc[74.0%], correct[37], total[50]
50:acc[86.0%], correct[43], total[50]
51:acc[94.0%], correct[47], total[50]
52:acc[76.0%], correct[38], total[50]
53:acc[90.0%], correct[45], total[50]
54:acc[68.0%], correct[34], total[50]
55:acc[68.0%], correct[34], total[50]
56:acc[86.0%], correct[43], total[50]
57:acc[82.0%], correct[41], total[50]
58:acc[80.0%], correct[40], total[50]
59:acc[66.0%], correct[33], total[50]
60:acc[36.0%], correct[18], total[50]
61:acc[86.0%], correct[43], total[50]
62:acc[52.0%], correct[26], total[50]
63:acc[86.0%], correct[43], total[50]
64:acc[68.0%], correct[34], total[50]
65:acc[70.0%], correct[35], total[50]
66:acc[52.0%], correct[26], total[50]
67:acc[74.0%], correct[37], total[50]
68:acc[40.0%], correct[20], total[50]
69:acc[96.0%], correct[48], total[50]
70:acc[88.0%], correct[44], total[50]
71:acc[96.0%], correct[48], total[50]
72:acc[88.0%], correct[44], total[50]
73:acc[46.0%], correct[23], total[50]
74:acc[60.0%], correct[30], total[50]
75:acc[88.0%], correct[44], total[50]
76:acc[92.0%], correct[46], total[50]
77:acc[80.0%], correct[40], total[50]
78:acc[74.0%], correct[37], total[50]
79:acc[78.0%], correct[39], total[50]
80:acc[92.0%], correct[46], total[50]
81:acc[84.0%], correct[42], total[50]
82:acc[90.0%], correct[45], total[50]
